iter	Passed	Remaining
342	4931	9446
343	4946	9432
344	4960	9417
345	4975	9403
346	4989	9389
347	5003	9374
348	5020	9364
349	5034	9350
350	5049	9335
351	5063	9321
352	5077	9307
353	5092	9292
354	5106	9277
355	5120	9263
356	5135	9249
357	5149	9234
358	5163	9219
359	5177	9204
360	5191	9189
361	5205	9174
362	5221	9161
363	5235	9148
364	5251	9136
365	5266	9122
366	5280	9107
367	5294	9093
368	5308	9078
369	5326	9069
370	5340	9054
371	5354	9039
372	5369	9025
373	5383	9010
374	5397	8995
375	5419	8993
376	5434	8980
377	5449	8967
378	5464	8952
379	5478	8939
380	5492	8924
381	5506	8909
382	5521	8894
383	5535	8879
384	5549	8865
385	5564	8850
386	5578	8836
387	5592	8821
388	5607	8807
389	5621	8792
390	5636	8778
391	5650	8764
392	5665	8750
393	5679	8736
394	5694	8721
395	5708	8706
396	5722	8692
397	5736	8677
398	5751	8662
399	5765	8648
400	5780	8634
401	5794	8619
402	5808	8604
403	5822	8589
404	5840	8580
405	5855	8566
406	5869	8551
